symbol,globalScore
ITGB4,0.3386400752636963
FUZ,0.3385755134989058
HES4,0.3383062914097251
MTHFS,0.3382059336442212
VEGFC,0.3381512479087822
PURA,0.3379783688959755
KMT2C,0.3369442156473621
GMPR,0.3368334786123497
CSNK2B,0.3368264751097014
AFF3,0.3366885704172154
FECH,0.3365518567454565
GLIS3,0.3363504868979626
ECHDC3,0.3363348301191576
TPST2,0.3363062178226262
MAPK14,0.3361356848528178
MRPS17,0.3353350867688459
NME4,0.3344110213993561
MTHFD1L,0.3342691645605028
NKX2-3,0.3336482470041637
PPP4R1,0.3336296726270033
AASS,0.3334811960410759
PSG2,0.3331229321732888
CTCF,0.3330322782925859
PIM1,0.332571610943302
FARP1,0.3325204790630211
PTPRD,0.332459884550818
ECE1,0.3322772595460829
PIK3C2A,0.3322407125722658
DYRK1B,0.3318026510187709
ARL1,0.3316511254410985
SLC25A4,0.3315444883902754
DSTN,0.3313020881495943
EPHX2,0.3306937352462881
MRPL33,0.3306349004550365
CDC42EP5,0.3306349004550365
FGGY,0.3306347808407156
PTGFR,0.330580515630316
DHX30,0.3304055320360661
BARHL2,0.3300241948788402
TCF7L2,0.3297898486586033
TRIM48,0.3292995826206985
MRPL42,0.3291034047066916
PPP1CA,0.3290198533324991
TRAPPC3,0.3287536172176221
LIPG,0.3276447586286486
AKAP8L,0.3272470140110867
UBE2V2,0.3271833161277156
ARHGEF17,0.3270841842929117
MAST2,0.327056653235971
NCOR2,0.3269202126896471
NME9,0.3268771970902476
MYL6B,0.3266855345929927
NBPF4,0.3266657958156963
DIRAS2,0.326622538192839
AOPEP,0.3264539769720266
RAB20,0.3263912220653778
PANK3,0.3261142687749545
NEK1,0.3257743342267756
MRPL45,0.3250052976103102
PPP3R1,0.3249844648942628
CCN3,0.3243440431404429
WNK3,0.3242493244881076
HAGH,0.323187381866833
PAM16,0.3231380352749854
SHROOM1,0.3231380352749854
STAT3,0.3231262717445802
HAVCR2,0.3231026070578273
GRK5,0.3230945619132311
WNT2,0.3227182923276603
ST3GAL4,0.3226721076714352
SERPINF1,0.3225191477863753
TJP2,0.3224202287343605
MRPL34,0.3223719542748773
ITPKB,0.3219029724860329
CAMK1D,0.3217163397537723
NUP88,0.3216350972648701
SYBU,0.3215388383080239
ATM,0.3213707614827884
MINK1,0.3213694497076796
DYNC1I2,0.3212753941210146
FTCD,0.3212752794856978
HIF1A,0.3212453757068791
TFPI,0.3207131860936236
CDK11B,0.3205395307542632
SLIT3,0.3204419236526353
ABCG1,0.3204329793645201
COX7B2,0.3203100161432409
ANKRD55,0.3201003912628567
SAP30L,0.3199944946593488
TBL1XR1,0.3199422012260737
G3BP2,0.3196313001491023
NEK6,0.3194176164391146
ZBTB9,0.3194173924150473
ESRP2,0.3194173924150473
TYW1,0.319402165591605
LGMN,0.3192975375979929
NDUFA7,0.3192523938832644
KHDRBS2,0.3191004407194033
GSTO1,0.3189848514276995
NFATC2,0.3189132537183777
ZC3H14,0.3188781968859251
DENND1A,0.3188503692876177
TLR5,0.3187469256268344
SH3BGRL,0.3184741809022596
MUC19,0.3184349763074355
HCN4,0.3182964802594147
CSNK2A2,0.3182685693464904
NDUFS6,0.3182004345838956
SMARCC1,0.3180821723805543
HLA-DQA2,0.3180062414911043
RPS6KC1,0.3179745891085861
SCLY,0.3179312442469792
FOXO1,0.3178841751941709
RBCK1,0.317823813653441
COX6A2,0.3177940185469682
BZW2,0.3175814523477507
L3MBTL3,0.3175640085080182
PRRX1,0.3174001444735101
MAPKAP1,0.3172030462564823
RGMB,0.3170233206364173
SLC25A6,0.3169301765881862
SLC25A6,0.3169301765881862
KCNJ3,0.3168730080961832
ACTR2,0.3167416125644004
ARHGAP8,0.3167078382355952
DUSP2,0.3166556459316169
CSE1L,0.3165638893089158
B3GNT2,0.3164500252447299
ADGRA3,0.316331818750276
MRPS15,0.316049808432593
ALDH8A1,0.3157152464664837
ANO5,0.3151740534623453
PSME4,0.3151049359043391
CKMT1B,0.3150185723611629
FCRL2,0.314887679495962
NEGR1,0.3148331290745508
GPX1,0.3147906465784053
DDR2,0.3147061744911626
RHOH,0.3145994009359761
MB21D2,0.3145709465246171
ANAPC1,0.3145630162012734
ARHGEF10L,0.3142513994323664
TEAD1,0.3141233701610192
RYR2,0.3140939395881537
PPIG,0.3139033845332893
HNF4G,0.3137220695792615
OLFM4,0.3136484191585192
CHRNA2,0.3135100792121898
CELF4,0.3132387411987324
BPIFA1,0.3131949096595199
GABRA4,0.3130659567413805
DYNLRB1,0.3130479442179376
SLC6A1,0.3129794310556921
CNTNAP5,0.3129252581549158
DIO2,0.3126181055626149
CREM,0.3123727235433078
EED,0.3122839053086677
FRMD5,0.3122554092103222
ZNF579,0.3121051577150159
COQ5,0.3120315996175547
ABL1,0.3119148695921599
HIPK1,0.3118410817441857
LTN1,0.3116696720940721
CORO1C,0.3116681501847241
FBP1,0.3112848665422509
ARFGEF1,0.3111986205800759
MRPL36,0.3109975524164449
OARD1,0.3109191805176656
CYRIB,0.3107464748254903
SEC14L1,0.3105773197379179
MRC1,0.3105344643558568
E2F1,0.3103771310919963
EPS15L1,0.3101966973073702
PDE3A,0.3099134972314237
ADARB2,0.3098263167017768
STAG1,0.309791170454288
REEP5,0.3096258996394569
CUX1,0.3095673401632702
LRRC37A,0.3092845136212952
ASCC1,0.3089833692791821
MADD,0.3088555450483216
CALU,0.3084810663215482
PIK3R6,0.308423748630682
ALDH9A1,0.3083198554644409
ANXA2,0.3083178016341151
CDK5R2,0.3083156660837465
SLC26A1,0.3081076877183637
CDKL1,0.307354863933215
TCN2,0.3069050339920673
BCL11A,0.3068595158808405
CEP170,0.3067880207007082
EPRS1,0.3067580626490079
TNKS1BP1,0.3066109946117942
NR2F2,0.3062287507407024
MSRB2,0.3061686145857749
SERPINB6,0.3061427310717643
OASL,0.3060268232929231
CAMK2N1,0.3059787762843345
TNIP1,0.3058261341038644
ZNF628,0.3054475150929163
PCLAF,0.3051304959105336
SLC6A4,0.3051235444033157
ERG,0.3050177300674142
AUTS2,0.3048843649617949
WWOX,0.3048376390820003
NICN1,0.3047197250256188
WEE1,0.3046164116104424
ALPL,0.3042817196408858
LIPC,0.3042418465128567
EIF4EBP2,0.3040957648744349
KDM4B,0.3040272047347439
PTPN21,0.3040121835947236
MIB1,0.3038919537248044
TESC,0.3036026618346529
ZNF341,0.3035300296016905
MYOCOS,0.3033351542679342
PGR,0.3033165517778933
MPDZ,0.3029504879423499
ITGB3,0.3027378485346471
MARVELD1,0.3026348846880127
NECAP2,0.3025465158958577
CKAP5,0.3023438007598483
PRKCZ,0.3019972555125029
SLC6A2,0.3019499108871471
NATD1,0.3019471934820613
TMEM45B,0.3019296815658244
MYOM2,0.3018199899937135
ME3,0.3017367608327668
KCNG1,0.3017246066036786
BCCIP,0.301700971948771
SYNE2,0.3016666741159118
PRKD2,0.3015469328446898
SCARB2,0.3014847221582886
SPRED2,0.3012806452034807
CYB5B,0.3012244561730759
BORCS5,0.3011835711923884
ATP10D,0.3010914741962266
TSEN2,0.3010057319291127
SLC38A9,0.3010057319291127
ADAMTS8,0.3008955359727543
NSUN4,0.3008558708465934
HEXB,0.3006729955318055
DRC4,0.3003462594570592
GPAT3,0.3002581458004297
SIK3,0.3002574240552376
DIAPH3,0.3001693277051916
NEURL1,0.3001466497892441
BRWD1,0.3000411509968245
CAND2,0.3000231492518481
