symbol,globalScore
AKAP11,0.5030534363260936
DDX39B,0.5030392466541774
TARS2,0.5030392466541774
MTMR3,0.5030392466541774
MASTL,0.5030392466541774
GAK,0.502972335223514
CDKN2A,0.5028580561966116
ATP6V1C1,0.5018668727976212
PIKFYVE,0.5018319345282847
CDK12,0.5012604633369799
STK39,0.5002929565311615
SLC6A2,0.4998224470356314
PI4KB,0.4993421627252597
ATP6V1A,0.4989418373313682
CDKN2B,0.4986317279882929
AURKA,0.4985026494977072
MTMR6,0.4976720716320659
RAB7A,0.4975466790594277
CSNK1A1,0.4972180002482676
DRD5,0.496620031338111
CAMLG,0.4946783755899453
CTSB,0.4930815831897028
UCHL1,0.4920324988713017
GABRP,0.4916352660534018
KAT8,0.491467360958611
MTOR,0.487400622630895
NDUFB9,0.4859819341799881
PIK3CB,0.4848672293377445
NDUFC2,0.4838016236112388
KIF1A,0.4832071508982244
NDUFS8,0.4809237706584152
NDUFA6,0.4808644553730954
NDUFA5,0.4800297440521791
FYN,0.479484400880162
HTRA2,0.4771663649024264
TP53,0.4770697267985788
LYST,0.4768802282224006
IGSF9B,0.4768434475479924
PAF1,0.4756480316381111
SCD,0.4743318197827452
RFC1,0.4735274492274067
MT-ND1,0.4730598398885343
FAM47E,0.4728113209833339
COPZ1,0.4718123154600888
MCCC1,0.4709167303748844
NEU1,0.470325064528195
PTPN1,0.4683967255918135
NDUFC1,0.4674008169049174
FADS2,0.4656706169027242
DSTYK,0.4642384949658211
XPO1,0.464094769466777
SNX3,0.4639151125929719
SON,0.4638227176293007
MED1,0.4638227176293007
CLTC,0.4636487039717008
GM2A,0.4633607428109449
PPP1R15B,0.462898767992589
IMP3,0.462898767992589
AP2M1,0.4628525705107534
GAMT,0.4627961069218432
NUP93,0.4625291881379043
HSD17B12,0.4625291881379043
NDUFV1,0.4621642780203869
HTR2C,0.4619831286841471
SF3B1,0.4619748183558772
SNRPD3,0.4619748183558772
ZNF207,0.4619748183558772
MCM10,0.4619748183558772
COPB2,0.4619748183558772
SEC13,0.4619748183558772
PPAN,0.4619748183558772
LTV1,0.4619748183558772
KIF18B,0.4619748183558772
FCF1,0.4619748183558772
TNPO3,0.4619748183558772
BMS1,0.4619748183558772
PXK,0.4619748183558772
SNRPE,0.4619748183558772
COPB1,0.4619748183558772
MTMR14,0.4619748183558772
MDN1,0.4619748183558772
BMP2K,0.4619748183558772
PPP1R10,0.4619748183558772
DHX37,0.4619748183558772
COPG1,0.4619748183558772
COPA,0.4619748183558772
NAGPA,0.4619748183558772
NUP205,0.4619748183558772
NOP16,0.4619748183558772
PLRG1,0.4619748183558772
SUPT6H,0.4619748183558772
HEATR1,0.4619748183558772
RRP15,0.4618883034096377
GBF1,0.4607837754800816
AP2S1,0.4604111731671252
